日期,開始時間,結束時間,活動摘要,地點,描述/備註,來源日曆
2025-09-20,19:30,20:00,車,,https://naver.me/xF2oG1aZ,旅行
2025-09-20,20:00,20:30,酒店,"Jeju Shinhwa World Landing Resort, 大韓民國 Jeju-do, Seogwipo, 특별자치도, Andeok-myeon, Sinhwayeoksa-ro 304beon-gil, 38 랜딩관","https://naver.me/GTn3bYuT

價格名稱
專屬優惠 | 會員日

• [會員福利] 30,000 神話獎勵積分
• [會員福利] 延遲退房（下午 1:00）
• [會員福利] 莫西爾游泳池免費入場
• [促銷福利] Momoju 動物園 8 折優惠
• [促銷福利] Socar 共享租車 6 折優惠
• 神話主題樂園 Big 3 套票
- 入住時間為下午 3:00，退房時間為上午 11:00。
- 每次入住可獲得 30,000 點神話獎勵積分。退房後 24 小時內再次入住，將視為一次入住。
- 神話獎勵積分可用於支付房費以及在參與活動的神話獎勵商店使用。
- 延遲退房和莫西爾游泳池免費入場可能會根據酒店運營情況和現場情況而受到限制。 - 每次入住每人可獲贈一次桃樹動物園 20% 優惠券。
- 入住期間，下載 Socar 應用程式並輸入代碼 [代碼：JSWM25]，即可獲得 Socar 共享汽車 60% 折扣優惠券。
- 每次入住每人可獲贈一次神話主題樂園 Big 3 優惠券。",旅行
2025-09-20,20:30,21:30,煙花 神話世界主題樂園,"神話世界主題樂園, 98 Sinhwayeoksa-ro 304beon-gil, Andeok-myeon, 특별자치도, Seogwipo, Jeju-do, 大韓民國",■ 光之饗宴在迷人的極光帶領之下展開繽紛瑰麗的燈光秀和璀璨迷人的煙火表演20:00 幻彩炫光秀正式開始20:50 神話主題公園中央舞台燈光秀&amp\;極光街21:10 神話廣場幻彩炫光秀&amp\;煙火表演(週五、週六、公休日）■ 浪漫廣場一個有音樂和燈光的浪漫廣場21:20 神話廣場 | 圖騰燈光秀https://place.map.kakao.com/1214707005神話主題樂園免費入園促銷活動！https://www.shinhwaworld.com/eventattractiontc/42145.jhtml?lang=tcㆍ活動期間: 2025 年 7 月 1 日 ～ 12 月 31 日※ 神話主題樂園之遊樂設施搭乘券與動物園門票需另行購買。https://www.shinhwaworld.com/zootiptc/42087.jhtml?lang=tc,旅行
2025-09-20,21:30,22:00,酒店,"Jeju Shinhwa World Landing Resort, 大韓民國 Jeju-do, Seogwipo, 특별자치도, Andeok-myeon, Sinhwayeoksa-ro 304beon-gil, 38 랜딩관",,旅行
2025-09-20,21:45,22:15,橋村炸雞,교촌치킨 영어교육도시점,https://naver.me/5yPFSDyj,旅行
2025-09-21,07:55,08:00,車,,https://naver.me/xmBts25a,旅行
2025-09-21,08:00,08:45,Yanggane 神話世界總店,양가네 신화월드,"https://naver.me/FwjSZCAC好的，這份菜單的中文翻譯如下：갈비탕 (牛骨排湯)15,000韓元도가니탕 (牛膝骨湯)18,000韓元쇠고기국밥 (牛肉湯飯)10,000韓元用大鐵鍋長時間熬製的湯頭和新鮮食材製成的牛肉解酒湯。비빔막국수 (韓式辣拌蕎麥麵)10,000韓元물막국수 (韓式冷湯蕎麥麵)10,000韓元돼지갈비찜 (韓式燉豬排)35,000韓元소갈비찜 (韓式燉牛排)45,000韓元설렁탕 (雪濃湯)9,000韓元用牛頭骨和牛腿骨長時間熬製，不含任何添加物，『梁家』的濃郁雪濃湯！돼지고기수육 (韓式白切豬肉)20,000韓元使用韓國國內濟州產豬肉，搭配特製醬料的組合，是男女老少都能輕鬆享用的菜色。돼지고기 왕만두 (豬肉王餃子)6,000韓元內餡塞滿豬肉的大餃子。물냉면 (水冷麵)9,000韓元湯頭清爽可口，堪稱一絕的清涼水冷麵。비빔냉면 (韓式辣拌冷麵)9,000韓元香辣帶甜的醬料與Q彈麵條完美結合的辣拌冷麵。",旅行
2025-09-21,08:50,08:55,車,,https://naver.me/5u9ij2M7,旅行
2025-09-21,09:00,13:30,神話世界主題樂園,"神話世界主題樂園, 98 Sinhwayeoksa-ro 304beon-gil, Andeok-myeon, 특별자치도, Seogwipo, Jeju-do, 大韓民國",■ 灯光节灯光秀、烟花表演和迷人的LED极光街19:00 奇妙灯光秀开幕19:50 神话主题公园中央舞台 灯光秀和极光街20:10 神话广场灯光秀 (周五、周六、公休日）https://naver.me/xrSQq5KL神話主題樂園免費入園促銷活動！https://www.shinhwaworld.com/eventattractiontc/42145.jhtml?lang=tcㆍ活動期間: 2025 年 7 月 1 日 ～ 12 月 31 日※ 神話主題樂園之遊樂設施搭乘券與動物園門票需另行購買。https://www.shinhwaworld.com/zootiptc/42087.jhtml?lang=tc,旅行
2025-09-21,13:30,13:45,車,,https://naver.me/5XpTXF3G,旅行
2025-09-21,14:00,15:00,熟成到 (中文店),"熟成到(中文店), 1101 Iljuseo-ro, 특별자치도, Seogwipo, Jeju-do, 大韓民國",https://naver.me/GHvqfydx,旅行
2025-09-21,15:00,15:15,車,,https://naver.me/5ixpMCpn,旅行
2025-09-21,15:30,19:30,神話水上樂園,"神話世界水上樂園, 大韓民國 Jeju-do, Seogwipo, 특별자치도, Andeok-myeon, Sinhwayeoksa-ro 304beon-gil, 38 신화워터파크",https://naver.me/FBe2ORY6https://www.shinhwaworld.com/waterparktc.jhtml?lang=tc,旅行
2025-09-21,19:30,20:00,酒店,"Jeju Shinhwa World Landing Resort, 大韓民國 Jeju-do, Seogwipo, 특별자치도, Andeok-myeon, Sinhwayeoksa-ro 304beon-gil, 38 랜딩관",,旅行
2025-09-21,20:00,20:15,車,,https://naver.me/55PXGyOd,旅行
2025-09-21,20:30,22:00,9.10 黑豬肉排骨海鮮鍋 Nangkum Nangkum ,"Nangkum Nangkum Sanbangsan Branch, 大韓民國 Jeju-do, Seogwipo, Daejeong-eup, 영어도시로 74 1층",https://naver.me/G9pbsSYX,旅行
2025-09-21,22:00,22:15,車,,https://naver.me/xOdfjIFv,旅行
2025-09-21,22:30,23:00,酒店,"Jeju Shinhwa World Landing Resort, 大韓民國 Jeju-do, Seogwipo, 특별자치도, Andeok-myeon, Sinhwayeoksa-ro 304beon-gil, 38 랜딩관",,旅行
2025-09-22,08:00,09:00,神話庭園 菊花田,"신화가든, 산 24-8 Seogwang-ri, Andeok-myeon, Seogwipo, Jeju-do, 大韓民國",,旅行
2025-09-22,09:00,09:15,酒店Checkout,"Jeju Shinhwa World Landing Resort, 大韓民國 Jeju-do, Seogwipo, 특별자치도, Andeok-myeon, Sinhwayeoksa-ro 304beon-gil, 38 랜딩관",https://naver.me/GTn3bYuT,旅行
2025-09-22,09:15,09:25,車,,https://naver.me/GHYvnJIH,旅行
2025-09-22,09:30,10:15,Osulloc茶博物館,"Osulloc茶博物館, 15 Sinhwayeoksa-ro, Andeok-myeon, 특별자치도, Seogwipo, Jeju-do, 大韓民國",https://naver.me/5uIYATBA,旅行
2025-09-22,10:15,10:30,車,,https://naver.me/G7CVdmWf,旅行
2025-09-22,10:30,11:30,11點 濟州島滑翔傘 (早半個鐘) ,"33.35655, 126.2975",預計滑翔時間 7~10 分鐘滑翔傘地點 - 金岳 (寄生火山)https://www.trazy.com/zh-TW/experience/detail/jeju-paraglidinghttps://naver.me/G3PtXBz711-3https://www.instagram.com/jeju.skylab.paraglidinghttps://dadameimei.net/product/%E6%B5%8E%E5%B7%9E%E5%B2%9B%E6%B5%B7%E7%A9%BA%E6%BB%91%E7%BF%94%E4%BC%9E%E4%BD%93%E9%AA%8C%EF%BC%88%E4%BA%8B%E5%89%8D%E9%A2%84%E7%BA%A6%E5%BF%85%E9%A1%BB%EF%BC%89jm111177106/40086/#none,旅行
2025-09-22,11:30,11:45,車,,https://naver.me/x8DtFm00,旅行
2025-09-22,11:45,13:30,濟洲9.81公園,"濟洲9.81公園, 880-24 Cheondeok-ro, Aewol-eup, Cheju, Jeju-do, 大韓民國",https://naver.me/xXwQyE6Y,旅行
2025-09-22,10:45,12:30,Arte Museum,"Arte Museum Jeju, 478 Eorimbi-ro, Aewol-eup, 특별자치도, Cheju, Jeju-do, 大韓民國",https://naver.me/GSDAiZ5B,Rain Plan
2025-09-22,13:30,14:00,車,,https://naver.me/x8DtFvAN,旅行
2025-09-22,14:00,15:00,8.23 韓牛 明浩安東牛肋 中文店,"Myungho Manong Galbi, 大韓民國 Jeju-do, Seogwipo, 특별자치도, Jungmungwangwang-ro, 289 KR","https://naver.me/xExWzt3D

마농갈비 (大蒜牛排骨)
濟州大蒜與濟州韓牛的夢幻組合
27,000韓元

註：「마농 (Manong)」是濟州方言，意指「大蒜」。

생안창살 (新鮮橫膈膜肉)
40,000韓元

註：「안창살」是牛的橫膈膜，為稀有且肉味濃郁的部位。

생갈비 (新鮮牛排骨)
27,000韓元

마농육회 (大蒜生拌牛肉)
25,000韓元",旅行
2025-09-22,15:00,15:15,車,,https://naver.me/57QraOED,旅行
2025-09-22,15:30,16:30,海邊騎馬 中文馬術公園,"중문승마공원, 大韓民國 Jeju-do, Seogwipo, 특별자치도, Daepo-dong, 2270 KR",https://blog.naver.com/7381942/223711362946https://naver.me/FQVGjiuA,旅行
2025-09-22,16:30,16:45,車,,https://naver.me/FTMqCeVr,旅行
2025-09-22,17:00,18:00,Onol cafe,"Onol cafe, 大韓民國 Jeju-do, Seogwipo, 특별자치도, Jungmun-dong, Daepo-ro, 174 KR",https://naver.me/5JpkxqxF,旅行
2025-09-22,18:00,18:15,車,,https://naver.me/GUmw6SRb,旅行
2025-09-22,18:30,19:30,酒店 YAKMAEUL (BLACK YAK),"YAKMAEUL (BLACK YAK), 162 Saekdaljungang-ro, Seogwipo, Jeju-do, 大韓民國",https://naver.me/G0DWTTcY,旅行
2025-09-22,19:30,19:45,車,,https://naver.me/xumMToYE,旅行
2025-09-22,20:00,21:30,生魚片 Saekdalbadang,"Saekdalbadang, 大韓民國 Jeju-do, Seogwipo, 특별자치도, Saekdal-ro, 99 KR",https://naver.me/xxY2xAX1https://blog.naver.com/bonny_cat/223212678575,旅行
2025-09-22,21:30,22:00,橋村炸雞,"橋村炸雞, 大韓民國南濟州郡",https://place.map.kakao.com/24120228https://naver.me/Gj6rnQcJ,旅行
2025-09-22,22:00,22:30,車 充電,,https://naver.me/FoIAD0WC,旅行
2025-09-22,22:30,23:00,酒店 YAKMAEUL (BLACK YAK),"YAKMAEUL (BLACK YAK), 162 Saekdaljungang-ro, Seogwipo, Jeju-do, 大韓民國",https://naver.me/G0DWTTcY,旅行
2025-09-23,08:00,08:25,車,,https://naver.me/5jBJhKVc,旅行
2025-09-23,08:30,09:30,豬肉湯飯,국밥생각 서귀점 ,"https://naver.me/IxsM4acc

대표메뉴 (招牌菜單)
대표 (招牌)
돼지국밥(1인분) (豬肉湯飯 (1人份))
韓牛高湯(600)+豬頭肉(70)+牛腱肉(80)
11,000韓元

대표 (招牌)
돼지국밥(곱배기) (豬肉湯飯 (大碗))
韓牛高湯(600)+豬頭肉(70)+牛腱肉(80)
13,000韓元

대표 (招牌)
[ 국물이 진한 ] 빨강돼지머리국밥(1인분) ([湯頭濃郁] 辣味豬頭肉湯飯 (1人份))
韓牛高湯 + 特級豬頭肉
13,500韓元

대표 (招牌)
[ 국물이 진한 ] 빨강돼지머리국밥(곱배기) ([湯頭濃郁] 辣味豬頭肉湯飯 (大碗))
韓牛高湯 + 特級豬頭肉
15,500韓元

대표 (招牌)
[ 야무지게 먹는 ] 국밥 1인 세트(1인분) ([超值獨享] 湯飯1人套餐 (1人份))
湯飯 1份 + 小菜 1份
20,000韓元

대표 (招牌)
얼큰우거지육개장(1인분) (辛辣白菜乾牛肉湯 (1人份))
主餐+白飯+蘿蔔泡菜
13,500韓元

대표 (招牌)
한우국밥 (韓牛湯飯)
主餐+白飯+蘿蔔泡菜
13,500韓元

대표 (招牌)
국밥생각 물냉면 (반찬X)(1인분) (湯飯所想 水冷麵 (無小菜)(1人份))
集合了清涼、甜美、香辣，是時下最流行的湯拌冷麵。
10,000韓元

대표 (招牌)
국밥생각 물냉면 (반찬X)(곱배기) (湯飯所想 水冷麵 (無小菜)(大碗))
集合了清涼、甜美、香辣，是時下最流行的湯拌冷麵。
12,000韓元

[ 가성비 甲 ] 세트메뉴 ([CP值之王] 套餐)
대표 (招牌)
[ 야무지게 먹는 ] 국밥 1인 세트(1인분) ([超值獨享] 湯飯1人套餐 (1人份))
湯飯 1份 + 小菜 1份
20,000韓元

국밥 2인 세트(2인분) (湯飯2人套餐 (2人份))
湯飯 2份 + 小菜 1份
29,500韓元

[ 한 끼 든든하게 챙길땐 ] 국밥 메뉴 ([想吃頓飽足好料時] 湯飯菜單)
대표 (招牌)
돼지국밥(1인분) (豬肉湯飯 (1人份))
韓牛高湯(600)+豬頭肉(70)+牛腱肉(80)
11,000韓元

대표 (招牌)
돼지국밥(곱배기) (豬肉湯飯 (大碗))
韓牛高湯(600)+豬頭肉(70)+牛腱肉(80)
13,000韓元

순대국밥(1인분) (血腸湯飯 (1人份))
韓牛高湯(600)+豬頭肉(120)+傳統血腸(5顆)
11,000韓元

순대국밥(곱배기) (血腸湯飯 (大碗))
韓牛高湯(600)+豬頭肉(120)+傳統血腸(5顆)
13,000韓元

내장국밥(1인분) (內臟湯飯 (1人份))
韓牛高湯(600)+豬肚(80)+豬小腸(70)
11,000韓元

내장국밥(곱배기) (內臟湯飯 (大碗))
韓牛高湯(600)+豬肚(80)+豬小腸(70)
13,000韓元

섞어국밥(1인분) (綜合湯飯 (1人份))
韓牛高湯(600)+牛腱肉(70)+豬小腸(40)+豬肚(40)
11,000韓元

섞어국밥(곱배기) (綜合湯飯 (大碗))
韓牛高湯(600)+牛腱肉(70)+豬小腸(40)+豬肚(40)
13,000韓元

오소리감투순대국밥(1인분) (豬肚血腸湯飯 (1人份))
韓牛高湯(600)+豬頭肉(30)+豬肚(20)+傳統血腸(5顆)
11,000韓元

오소리감투순대국밥(곱배기) (豬肚血腸湯飯 (大碗))
韓牛高湯(600)+豬頭肉(30)+豬肚(20)+傳統血腸(5顆)
13,000韓元

얼큰우거지순대국밥(1인분) (辛辣白菜乾血腸湯飯 (1人份))
韓牛高湯+調味白菜乾+特殊部位+傳統血腸(5顆) (不可要求去除特殊部位)
12,500韓元

얼큰우거지내장국밥(1인분) (辛辣白菜乾內臟湯飯 (1人份))
韓牛高湯+調味白菜乾+特殊部位+豬小腸(40)+豬肚(40) (不可要求去除特殊部位)
12,500韓元

수육국밥(1인분) (白切肉湯飯 (1人份))
韓牛高湯(600)+牛腱肉(150)
11,500韓元

수육국밥(곱배기) (白切肉湯飯 (大碗))
韓牛高湯(600)+牛腱肉(150)
13,500韓元

모둠국밥(1인분) (特級綜合湯飯 (1人份))
韓牛高湯(600)+豬頭肉(50)+豬小腸(50)+豬肚(50)+傳統血腸(3顆)
11,500韓元

모둠국밥(곱배기) (特級綜合湯飯 (大碗))
韓牛高湯(600)+豬頭肉(50)+豬小腸(50)+豬肚(50)+傳統血腸(3顆)
13,500韓元

돼지머리국밥(1인분) (豬頭肉湯飯 (1人份))
韓牛高湯 + 特級豬頭肉
13,500韓元

돼지머리국밥(곱배기) (豬頭肉湯飯 (大碗))
韓牛高湯 + 特級豬頭肉
15,500韓元

[ 얼큰하게 속풀리는 ] 빨강국밥 ([香辣暖胃] 辣味湯飯)
빨강돼지국밥(1인분) (辣味豬肉湯飯 (1人份))
辣醬+豬肉湯飯
11,500韓元

빨강돼지국밥(곱배기) (辣味豬肉湯飯 (大碗))
辣醬+豬肉湯飯
13,500韓元

[ 속 풀리는 ] 빨강순대국밥(1인분) ([暖胃解酒] 辣味血腸湯飯 (1人份))
辣醬+血腸湯飯
11,500韓元

[ 속 풀리는 ] 빨강순대국밥(곱배기) ([暖胃解酒] 辣味血腸湯飯 (大碗))
辣醬+血腸湯飯
13,500韓元

빨강내장국밥(1인분) (辣味內臟湯飯 (1人份))
辣醬 + 內臟湯飯
11,500韓元",旅行
2025-09-23,09:30,09:45,車,,https://naver.me/FjCb4Yms,旅行
2025-09-23,10:00,11:10,8.22 西歸浦潛水艇公司,"西歸浦潛水艇公司, 40 Namseongjung-ro, Seogwipo, Jeju-do, 大韓民國",https://submarine.co.kr/submarine/renewalReservation.dohttps://naver.me/GXApqY0U要預測西歸浦潛水艇（서귀포잠수함）在特定日期的最佳觀賞時間，我們需要綜合考慮潮汐和日照這兩大關鍵因素。經過分析，對於2025年9月23日（星期二），最理想、水最清的時段會是上午10點至下午1點之間。以下是詳細的原因分析：1. 潮汐的影響 (決定水質的清澈度)當潮水漲至最高點（滿潮）或降至最低點（乾潮）時，海水的流動會有一段時間的停滯，這個時候海底的沉積物最不容易被攪動，海水中的懸浮物也較少，因此水下能見度最高。根據2025年9月23日西歸浦地區的潮汐預測：滿潮 (High Tide): 約上午 11:00乾潮 (Low Tide): 約傍晚 5:10因此，上午11:00前後是當天第一個水質最穩定、最清澈的「黃金時間」。2. 日照的影響 (決定視野的明亮度與色彩)潛水艇會下潛到約40米深的海底。充足的陽光是決定您能否看到色彩斑斕的海底世界的關鍵。太陽角度越高（越接近正午），陽光穿透海水就越深，能見度也越好，您看到的珊瑚和魚群顏色會更鮮豔真實。上午10點至下午1點，正是太陽照射角度最佳、光線最強的時候。綜合結論將以上兩點結合，上午11:00前後的時段，既是滿潮時分（水流平穩，水質清），又是日照最強（光線充足，視野亮）的時候。因此，選擇預約上午10點至下午1點之間出發的船班，您將有最大機率體驗到最清澈、最美麗的海底景色。,旅行
2025-09-23,11:10,11:15,車,,https://naver.me/FfB4LA6q,旅行
2025-09-23,11:15,12:15,天地淵瀑布,"天地淵瀑布, 大韓民國南濟州郡天地淵瀑布",https://naver.me/xX7FOryx,旅行
2025-09-23,12:15,12:25,車,,https://naver.me/5wNWobDl,旅行
